processed_txt,finbert_sentiment,claude_sentiment
"Inflation data, retail sales, Walmart earnings await a jumpy stock market: What to know this week",positive,neutral
Whipsaw week for stocks leaves markets 'on edge' ahead of busy economic data week,neutral,negative
"Down Between 12% and 24% From Their 52-Week Highs, 3 Magnificent Dow Dividend Stocks to Buy Now",negative,mixed
Traders Bet on Wild Swings With CPI Print Set to Test the Market,neutral,neutral
"Down 60% This Year, Is Intel Stock a Bargain Buy?",positive,mixed
Is Starbucks' Stock in Trouble?,negative,negative
These 9 Dividend ETFs Are a Retiree's Best Friend,positive,positive
Dow Jones Futures Due: Market Rally Setting Up; These Stocks Are Near Buy Points As Nvidia Struggles,positive,mixed
Will Berkshire Hathaway Reach a Trillion-Dollar Market Cap in 2025?,neutral,neutral
1 No-Brainer Growth Stock I Can't Wait to Buy Again if the Market Crashes,positive,mixed
"The Nasdaq Sell-Off Has Accelerated, and History Suggests It'll Get Worse in the Coming Months",negative,negative
3 High-Yield Dividend ETFs to Buy to Generate Passive Income,neutral,positive
"Stock Split Prediction: 2 Artificial Intelligence (AI) Stocks Will Split After Nvidia, Broadcom, and Super Micro",neutral,neutral
Worried About the Stock Market? 1 Surefire ETF You Can't Go Wrong With,negative,mixed
Buckle up! More market excitement is coming,neutral,neutral
Warren Buffett Just Sold Half of His Apple Stock. 3 Reasons Not to Panic.,neutral,mixed
3 Stock-Split Stocks to Buy Hand Over Fist Before They Soar as Much as 204% According to Select Wall Street Analysts,neutral,positive
2 Unstoppable Growth Stocks That Could Crush the S&P 500 Over the Next 5 Years,positive,positive
"If You Invested $1000 In Simon Property Stock 20 Years Ago, How Much Would You Have Now?",neutral,neutral
Warren Buffett Just Sent a $277 Billion Warning to Stock Investors,negative,negative
"Dave Ramsey Says Take Social Security at Age 62, But Only If You Do This With Each Check",neutral,neutral
2 Billionaire-Held Stocks That Could Outperform the S&P 500 Over the Next 5 Years,positive,positive
"Down 20% in 2024, Is Ford Stock a Buy On This Dip?",positive,mixed
Earnings Growth in US Finally Showing Up Outside Tech Megacaps,positive,positive
The stock market suffers another August scare. Here are the lessons for investors.,neutral,mixed
"Where stocks may be headed after a wild week, according to the options market",neutral,neutral
Market volatility goes both ways: Chart of the Week,neutral,neutral
Will the Stock Market Soar If the Fed Cuts Rates in September? Here's What History Shows.,negative,neutral
Market Turmoil Revives Age-Old Question: Should You Buy the Dip?,neutral,neutral
Where Will Home Depot Stock Be in 5 Years?,neutral,neutral
Weekly market recap: Here's how S&P 500 sectors performed last week,neutral,neutral
"Meet the Newest Stock-Split Stock in the S&P 500. It Soared 500% Since Last Year, and Wall Street Says It's Still a Buy Right Now.",positive,positive
Is the Vanguard Information Technology ETF a Millionaire Maker?,neutral,neutral
Recession predictions reset after market scare,negative,negative
The Market Is Scary. These Stocks and Bonds Can Protect Your Portfolio.,positive,mixed
Stocks Brought a Week of Whiplash. It Might Not Be Over Yet.,neutral,negative
Why Nu Skin Enterprises Stock Flopped on Friday,negative,negative
Why American Axle & Manufacturing Stock Rocketed Nearly 5% Higher Today,positive,positive
Retail Earnings Loom: A Preview,neutral,neutral
"Recession concerns, treasury yields, & more: What's moving markets",neutral,mixed
HudBay Minerals (HBM) Surpasses Market Returns: Some Facts Worth Knowing,positive,positive
"Bitcoin rebound, markets recover: Market Domination",positive,positive
The Stock Market's Wild Week Was a Wake-Up Call. What to Do Now.,neutral,neutral
"Streaming wars, tech sector rebound: Asking for a Trend",positive,positive
Trip.com (TCOM) Stock Falls Amid Market Uptick: What Investors Need to Know,negative,mixed
This pullback was long overdue: Strategist,positive,neutral
"JD.com, Inc. (JD) Stock Dips While Market Gains: Key Facts",positive,negative
"Bit Digital, Inc. (BTBT) Stock Sinks As Market Gains: What You Should Know",positive,negative
"Tech still reigns, bond yields bounce back: Market trends",positive,mixed
S&P 500 Gains and Losses Today: Expedia Soars as International Demand Drives Earnings Beat,positive,positive
"Stock Market Week: A Look At U.S. And China Consumers, And These Fast-Moving Stocks",neutral,neutral
What Stock Market Crash? This Week Turned Out (Mostly) Fine.,positive,positive
Equities Rise as Markets Analyze Fed Official's Remarks,neutral,positive
